"Name","Description","Homepage","Social networks accounts","E-mail","Contact page","Organisation Type","Physical address","Legal entity","Year of foundation","Language(s) of the platform","Phone","Keywords","Type of activity","The most important type of collaboration","Type of common resource resulting","User generated content license","Software platform license","Owner","Infrastructure provider","Other information","Scope"
"Car pooling","Drivers can offer empty seats and passengers can book a ride to their destination. People can check user profiles and choose who they want to ride with, how much space and comfort they need, where they want to meet and what they are willing to pay","http://www.carpooling.com","http://www.facebook.com/carpoolingcom, https://twitter.com/carpoolingcom, https://plus.google.com/107719418511666404450/posts","info@carpooling.com","","Business","United Kingdom","for profit organization","2011-01-01 00:00:00","English","","","Collaborative consumption","Physical resource","Service","Other","Other licenses","carpooling.com GmbH","","",""
"Couchsurfing","Couchsurfing is a global community of 7 million people in more than 100,000 cities who share their life, their world, their journey. Couchsurfing connects travelers with a global network of people willing to share in profound and meaningful ways, making travel a truly social experience.","https://www.couchsurfing.org/","http://twitter.com/couchsurfing, http://facebook.com/couchsurfing, http://www.youtube.com/user/thisiscouchsurfing, https://plus.google.com/+couchsurfing/posts, http://instagram.com/couchsurfing","","https://docs.google.com/spreadsheet/viewform?formkey=dGVkLWZsS0M1d09qTGxBN2cw...","Grass Roots Organization Or Community Network","United Kingdom","for profit organization","2004-01-01 00:00:00","English","","","Community networks, Collaborative consumption","Exchange","Service","Copyright","No license","Couchsurfing International, Inc.","","",""
"Homeforhome","Enables travellers to sell hotel bookings bought anywhere, is free for both buyers and sellers to post or view listings. Buyers who bid on a room will know if their bid has been accepted within 24 hours, and can also cancel their bids up to the point that the seller responds. The seven-month-old company takes care of transferring the name on the booking and if the front desk doesn’t accept the reservation, Hall St will refund the buyer’s money.","http://www.hallst.com","https://www.facebook.com/hallst, https://twitter.com/#!/Hall_St, http://www.youtube.com/channel/UCTGnlcDxWC3gUU7p1Cu57cA/videos","info@hallst.com","","Business","United Kingdom","for profit organization","2010-01-01 00:00:00","English","+34 902 737 217 ","","Collaborative consumption","Physical resource","Service","Copyright","No license","Hall Street, S.L","","",""
"Kickstarter","Crowdfunding platform for creative projects. The company’s stated mission is to help bring creative projects to life. Since its launch, more than 5 million people have funded more than 50,000 creative projects, such as films, music, stage shows, comics, journalism, video games, and food-related projects.","http://www.kickstarter.com","http://kickstarter.tumblr.com/, https://www.facebook.com/Kickstarter, https://twitter.com/kickstarter","press@kickstarter.eu","","Business","United Kingdom","for profit organization","2009-01-01 00:00:00","English","","","Peer funding","Building collective process","Service","Copyright","Other licenses","Kickstarter, Inc.","","",""
"Goteo","Platform for crowdfunding or collective financing (monetary contributions) and distributed collaboration (services, infrastructures, microtasks) for projects which, apart from giving individual rewards, also generate a collective return through fomenting the commons, open code and/or free knowledge. As a member of the network you can have one or various roles: presenting a project, cofunding or collaborating on one.","http://goteo.org","https://twitter.com/goteofunding, https://www.facebook.com/pages/Goteo/268491113192109, http://identi.ca/goteofunding, https://plus.google.com/+goteo/posts, http://goteo.org/rss","","http://goteo.org/contact","Business","United Kingdom","for profit organization","2011-01-01 00:00:00","English","","","Peer funding","Album","Resource, Service, Methodology","Creative Commons: Attribution-ShareAlike (CC BY-SA)","Open Source License","","Fundación Fuentes Abiertas http://fuentesabiertas.org/","http://goteo.org/contact ",""
"4chan / videogames","4chan is an English-language imageboard website. Users generally post anonymously, with the most recent posts appearing above the rest. 4chan is split into various boards with their own specific content and guidelines. Registration is not required, nor is it possible (except for staff).","https://www.4chan.org/","https://twitter.com/4chan, https://www.facebook.com/pages/4chan/113262008688066","press@4chan.org","https://www.4chan.org/contact","Grass Roots Organization Or Community Network","United Kingdom","for profit organization","2003-01-01 00:00:00","English","","","Others","Other","Others","Other","Private software","","","Since its creation in 2003, 4chan has grown to become the US's largest forum and the world's largest English-language imageboard, serving approximately 575,000,000 page impressions to over 25,000,000 unique visitors per month (~12 MM in the US). The website is mainly popular amongst young adults, and its imageboard format is based fully on user-generated content. Users post in a variety of interest-themed imageboards, including Video Games, Anime, Lifestyle and Technology.",""
"Spain Gamers","Spain Gamers is a digital space to share game experiences, tricks and strategies about the most popular games within the gamers community. ","http://www.spaingamers.com","https://twitter.com/SpainGamersPX","admin@spaingamers.com","http://spaingamers.com/foro","Grass Roots Organization Or Community Network","United Kingdom","not for profit organization","2012-01-01 00:00:00","English","","","Gaming communities","Collage","Service","Copyright","No license","Spaingamers","","",""
"Identi.ca","identi.ca is an open source social networking and micro-blogging service based on the pump.io software, using the Activity Streams protocol.","https://identi.ca","","info@e14n.com","","Grass Roots Organization Or Community Network","United Kingdom","for profit organization","2008-01-01 00:00:00","English","+1-855-946-3675 ","","Free software social networks and platforms","Collage","Resource","Other","Open Source License","","","",""
"Global Voices","Global Voices is an international community of bloggers who report on blogs and citizen media from around the world","http://es.globalvoicesonline.org","http://www.facebook.com/globalvoicesonline/, http://twitter.com/globalvoices, http://globalvoicesonline.org/feeds/","","http://globalvoicesonline.org/contact/","Grass Roots Organization Or Community Network","United Kingdom","not for profit organization","2005-01-01 00:00:00","Afrikanns, Albanian, Arabic, Armenian, Basque, Bulgarian, Cambodian, Catalan, Chinese, Croation, Czech, Danish, Dutch, English, Estonian, Fiji, Hungarian, Indonesian, Irish, Javanese, Korean, Latvian, Serbian, Slovenian, Spanish, Xhosa, Other","","","Citizen media","Album","Resource","Creative Commons: Attribution (CC BY)","No license","","","",""
"Mapping the commons","A research project and a nomadic urban laboratory to explore that complex concept called the urban commons. The project proposes a method where the commons are discussed, defined with parameters and, sometimes, represented in short videos.","http://mappingthecommons.net","https://twitter.com/mappingcommons","","https://twitter.com/pablodesoto","Grass Roots Organization Or Community Network","United Kingdom","not for profit organization","2010-01-01 00:00:00","English","","","Collaborative research, Urban commons","Album","Resource, Methodology","Other","Other licenses","","Alabs https://alabs.org, MEIPI http://meipi.org","",""
